sample_id,field_id,red,green,blue,reaction_time_sec,sample_temperature_c,lab_olsen_p_mg_kg,region,soil_type,measurement_date,data_source
S0001,F001,129.1,178.9,223.2,881.0,24.6,9.27,Sirdaryo,Bo'z tuproq,2025-05-23,SYNTHETIC_DEMO
S0002,F001,102.1,159.9,216.2,762.0,26.3,12.5,Sirdaryo,Bo'z tuproq,2025-03-20,SYNTHETIC_DEMO
S0003,F001,110.4,171.6,217.4,877.0,23.2,11.33,Sirdaryo,Bo'z tuproq,2025-05-30,SYNTHETIC_DEMO
S0004,F001,96.7,163.3,216.4,701.0,22.0,13.28,Sirdaryo,Bo'z tuproq,2025-05-22,SYNTHETIC_DEMO
S0005,F002,149.2,198.6,230.7,769.0,25.2,7.75,Jizzax,O'tloqi-bo'z,2025-06-05,SYNTHETIC_DEMO
S0006,F002,165.4,204.6,232.8,639.0,16.7,7.86,Jizzax,O'tloqi-bo'z,2025-03-01,SYNTHETIC_DEMO
S0007,F002,188.8,219.9,239.6,487.0,15.6,6.06,Jizzax,O'tloqi-bo'z,2025-05-12,SYNTHETIC_DEMO
S0008,F002,185.1,215.5,239.0,287.0,23.0,6.2,Jizzax,O'tloqi-bo'z,2025-03-04,SYNTHETIC_DEMO
S0009,F002,148.8,198.1,228.3,554.0,24.8,7.33,Jizzax,O'tloqi-bo'z,2025-03-13,SYNTHETIC_DEMO
S0010,F003,191.5,218.4,237.3,239.0,26.2,4.71,Buxoro,Sur-qo'ng'ir,2025-06-24,SYNTHETIC_DEMO
S0011,F003,187.0,221.6,235.8,870.0,26.0,4.53,Buxoro,Sur-qo'ng'ir,2025-03-11,SYNTHETIC_DEMO
S0012,F003,206.5,220.7,240.8,332.0,19.2,4.68,Buxoro,Sur-qo'ng'ir,2025-05-05,SYNTHETIC_DEMO
S0013,F003,190.3,223.7,236.5,712.0,21.4,3.84,Buxoro,Sur-qo'ng'ir,2025-03-22,SYNTHETIC_DEMO
S0014,F004,166.3,205.9,228.6,201.0,18.1,12.97,Farg'ona,Allyuvial,2025-04-09,SYNTHETIC_DEMO
S0015,F004,116.1,179.0,229.4,868.0,18.9,11.49,Farg'ona,Allyuvial,2025-03-20,SYNTHETIC_DEMO
S0016,F004,168.6,207.4,236.1,328.0,19.9,7.98,Farg'ona,Allyuvial,2025-05-08,SYNTHETIC_DEMO
S0017,F004,136.1,193.1,226.4,552.0,15.6,12.13,Farg'ona,Allyuvial,2025-05-13,SYNTHETIC_DEMO
S0018,F005,147.3,192.1,223.6,767.0,28.2,7.99,Qashqadaryo,Bo'z tuproq,2025-06-27,SYNTHETIC_DEMO
S0019,F005,212.0,231.3,236.2,155.0,17.9,5.87,Qashqadaryo,Bo'z tuproq,2025-06-21,SYNTHETIC_DEMO
S0020,F005,181.3,210.9,235.0,366.0,25.1,5.84,Qashqadaryo,Bo'z tuproq,2025-03-01,SYNTHETIC_DEMO
S0021,F005,191.4,221.6,229.5,216.0,32.6,3.97,Qashqadaryo,Bo'z tuproq,2025-06-21,SYNTHETIC_DEMO
S0022,F005,162.2,204.8,227.6,878.0,24.0,6.45,Qashqadaryo,Bo'z tuproq,2025-06-25,SYNTHETIC_DEMO
S0023,F005,178.7,213.3,226.7,662.0,17.9,5.43,Qashqadaryo,Bo'z tuproq,2025-03-15,SYNTHETIC_DEMO
S0024,F005,182.4,209.4,228.4,355.0,29.0,4.92,Qashqadaryo,Bo'z tuproq,2025-05-11,SYNTHETIC_DEMO
S0025,F006,104.3,161.3,212.8,874.0,33.4,12.34,Sirdaryo,O'tloqi-bo'z,2025-05-19,SYNTHETIC_DEMO
S0026,F006,135.1,185.5,219.8,742.0,13.3,10.06,Sirdaryo,O'tloqi-bo'z,2025-03-14,SYNTHETIC_DEMO
S0027,F006,135.2,192.7,231.2,474.0,34.6,7.63,Sirdaryo,O'tloqi-bo'z,2025-04-27,SYNTHETIC_DEMO
S0028,F006,113.4,171.0,215.0,763.0,19.1,12.16,Sirdaryo,O'tloqi-bo'z,2025-05-11,SYNTHETIC_DEMO
S0029,F006,184.5,215.1,234.4,136.0,22.7,9.13,Sirdaryo,O'tloqi-bo'z,2025-06-08,SYNTHETIC_DEMO
S0030,F006,109.9,175.3,220.6,803.0,20.4,12.03,Sirdaryo,O'tloqi-bo'z,2025-04-08,SYNTHETIC_DEMO
S0031,F007,160.9,200.6,228.2,197.0,28.6,7.55,Jizzax,Sur-qo'ng'ir,2025-03-07,SYNTHETIC_DEMO
S0032,F007,185.7,203.4,229.7,225.0,22.7,6.63,Jizzax,Sur-qo'ng'ir,2025-03-30,SYNTHETIC_DEMO
S0033,F007,145.1,196.4,223.7,493.0,25.6,6.41,Jizzax,Sur-qo'ng'ir,2025-04-01,SYNTHETIC_DEMO
S0034,F007,167.2,204.3,228.3,352.0,30.5,6.5,Jizzax,Sur-qo'ng'ir,2025-04-28,SYNTHETIC_DEMO
S0035,F008,98.6,165.7,217.4,693.0,18.1,16.71,Buxoro,Allyuvial,2025-05-09,SYNTHETIC_DEMO
S0036,F008,169.2,205.6,228.1,227.0,18.1,11.45,Buxoro,Allyuvial,2025-03-11,SYNTHETIC_DEMO
S0037,F008,93.4,157.1,205.5,580.0,20.6,17.04,Buxoro,Allyuvial,2025-05-27,SYNTHETIC_DEMO
S0038,F008,114.0,166.7,223.2,504.0,13.7,18.34,Buxoro,Allyuvial,2025-05-31,SYNTHETIC_DEMO
S0039,F008,61.3,130.9,202.5,724.0,28.1,17.93,Buxoro,Allyuvial,2025-05-03,SYNTHETIC_DEMO
S0040,F008,112.4,176.3,216.7,235.0,29.0,15.03,Buxoro,Allyuvial,2025-04-07,SYNTHETIC_DEMO
S0041,F009,89.2,150.1,220.3,862.0,26.8,13.17,Farg'ona,Bo'z tuproq,2025-06-27,SYNTHETIC_DEMO
